x,y,z
-1.87381,9.82285,76
-2.05862,9.78578,76.1
-2.2427,9.74524,76.2
-2.42598,9.70123,76.3
-2.60841,9.65379,76.4
-2.78991,9.60292,76.5
-2.97041,9.54864,76.6
-3.14987,9.49096,76.7
-3.32819,9.4299,76.8
-3.50534,9.36549,76.9
-3.68124,9.29775,77
-3.85583,9.2267,77.1
-4.02905,9.15238,77.2
-4.20084,9.07481,77.3
-4.37115,8.99403,77.4
-4.5399,8.91005,77.5
-4.70704,8.8229,77.6
-4.8725,8.73262,77.7
-5.03623,8.63923,77.8
-5.19817,8.54277,77.9
-5.35826,8.44327,78
-5.51644,8.34076,78.1
-5.67267,8.2353,78.2
-5.82688,8.12691,78.3
-5.97903,8.01565,78.4
-6.12906,7.90153,78.5
-6.27691,7.78461,78.6
-6.42252,7.66493,78.7
-6.56586,7.54251,78.8
-6.70685,7.41742,78.9
-6.84546,7.28968,79
-6.98163,7.15935,79.1
-7.11533,7.02648,79.2
-7.24651,6.89111,79.3
-7.37511,6.75331,79.4
-7.50109,6.6131,79.5
-7.62442,6.47055,79.6
-7.74503,6.3257,79.7
-7.86288,6.1786,79.8
-7.97794,6.02929,79.9
-8.09016,5.87785,80
-8.1995,5.72431,80.1
-8.30593,5.56874,80.2
-8.40942,5.41119,80.3
-8.50992,5.25173,80.4
-8.6074,5.0904,80.5
-8.70183,4.92727,80.6
-8.79316,4.76238,80.7
-8.88136,4.5958,80.8
-8.96641,4.42758,80.9
-9.04826,4.25779,81
-9.12689,4.08648,81.1
-9.20229,3.91373,81.2
-9.27442,3.73958,81.3
-9.34326,3.56411,81.4
-9.40878,3.38737,81.5
-9.47097,3.20943,81.6
-9.52979,3.03035,81.7
-9.58522,2.85019,81.8
-9.63723,2.66902,81.9
-9.68582,2.4869,82
-9.73096,2.30389,82.1
-9.77265,2.12007,82.2
-9.81087,1.93549,82.3
-9.84561,1.75022,82.4
-9.87686,1.56434,82.5
-9.9046,1.3779,82.6
-9.92882,1.19097,82.7
-9.94951,1.00362,82.8
-9.96666,0.815908,82.9
-9.98026,0.627907,83
-9.99031,0.439683,83.1
-9.99681,0.251303,83.2
-9.99977,0.0628327,83.3
-9.99918,-0.12566,83.4
-9.99504,-0.314107,83.5
-9.98735,-0.502443,83.6
-9.97612,-0.6906,83.7
-9.96134,-0.878511,83.8
-9.94301,-1.06611,83.9
-9.92114,-1.25333,84
-9.89574,-1.4401,84.1
-9.86683,-1.62636,84.2
-9.83442,-1.81205,84.3
-9.79852,-1.99709,84.4
-9.75914,-2.18143,84.5
-9.7163,-2.36499,84.6
-9.67001,-2.54771,84.7
-9.62028,-2.72952,84.8
-9.56712,-2.91036,84.9
-9.51056,-3.09016,85
-9.45061,-3.26887,85.1
-9.38731,-3.44642,85.2
-9.32068,-3.62274,85.3
-9.25074,-3.79778,85.4
-9.17752,-3.97147,85.5
-9.10104,-4.14375,85.6
-9.02133,-4.31456,85.7
-8.93841,-4.48383,85.8
-8.85231,-4.65151,85.9
-8.76306,-4.81753,86
-8.67069,-4.98184,86.1
-8.57524,-5.14438,86.2
-8.47675,-5.30509,86.3
-8.37525,-5.46392,86.4
-8.27078,-5.62082,86.5
-8.16337,-5.77572,86.6
-8.05307,-5.92856,86.7
-7.9399,-6.0793,86.8
-7.82391,-6.22788,86.9
-7.70513,-6.37423,87
-7.58361,-6.51832,87.1
-7.45939,-6.6601,87.2
-7.33253,-6.79951,87.3
-7.20306,-6.93651,87.4
-7.07104,-7.07105,87.5
-6.93652,-7.20308,87.6
-6.79952,-7.33255,87.7
-6.66011,-7.45941,87.8
-6.51834,-7.58362,87.9
-6.37424,-7.70513,88
-6.22787,-7.8239,88.1
-6.07929,-7.93988,88.2
-5.92855,-8.05305,88.3
-5.77571,-8.16337,88.4
-5.62081,-8.27078,88.5
-5.46393,-8.37526,88.6
-5.3051,-8.47677,88.7
-5.14439,-8.57526,88.8
-4.98185,-8.67071,88.9
-4.81753,-8.76306,89
-4.6515,-8.8523,89.1
-4.48382,-8.93839,89.2
-4.31455,-9.02131,89.3
-4.14374,-9.10103,89.4
-3.97146,-9.17752,89.5
-3.79778,-9.25075,89.6
-3.62275,-9.3207,89.7
-3.44643,-9.38734,89.8
-3.26888,-9.45063,89.9
-3.09017,-9.51056,90
-2.91036,-9.56711,90.1
-2.72951,-9.62025,90.2
-2.5477,-9.66999,90.3
-2.36498,-9.71629,90.4
-2.18142,-9.75914,90.5
-1.99709,-9.79853,90.6
-1.81205,-9.83444,90.7
-1.62637,-9.86686,90.8
-1.44011,-9.89576,90.9
-1.25333,-9.92114,91
-1.06611,-9.94299,91.1
-0.878511,-9.96131,91.2
-0.690598,-9.97609,91.3
-0.502441,-9.98733,91.4
-0.314104,-9.99502,91.5
-0.125657,-9.99918,91.6
0.0628344,-9.99978,91.7
0.251303,-9.99683,91.8
0.439682,-9.99033,91.9
0.627905,-9.98027,92
0.815904,-9.96666,92.1
1.00361,-9.94951,92.2
1.19097,-9.92882,92.3
1.3779,-9.90461,92.4
1.56434,-9.87688,92.5
1.75023,-9.84565,92.6
1.93549,-9.81092,92.7
2.12007,-9.77269,92.8
2.3039,-9.73099,92.9
2.4869,-9.68581,93
2.66902,-9.63719,93.1
2.85019,-9.58513,93.2
3.03034,-9.52968,93.3
3.20943,-9.47084,93.4001
3.38737,-9.40866,93.5001
